# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
HD 156411,b,842,,,0.75,,,,,259.964172,-48.54932,55.1,6.673,5890,1.11,2.22,156411,84787
HD 156668,b,4.6455,0.05,0,0.013,,,,,259.418701,29.227226,24.05,8.424,4840,0.72,0.74,156668,84607
HD 156846,b,359.5546,1.096,0.84785,10.57,,,,,260.142944,-19.333746,49,6.52,5960,1.13,2.06,156846,84856
HD 157172,b,104.84,0.416,0.46,0.12,,,,,260.644012,-19.61618,33.48,7.859,5340,0.85,1.01,157172,85017
HD 158038,b,521,1.52,0.291,1.8,,,,,261.439301,27.303341,114.15,7.464,4740,,5.88,158038,85294
HD 159868,b,986,2,0.69,1.7,,,,,264.748016,-43.145515,52.72,7.242,5510,0.92,1.94,159868,86375
HD 160691,b,643.25,1.497,0.128,1.676,,,,,266.036255,-51.834053,15.28,5.15,5560,0.94,1.44,160691,86796
HD 160691,c,4205.8,5.235,0.0985,1.814,,,,,266.036255,-51.834053,15.28,5.15,5560,0.94,1.44,160691,86796
HD 160691,d,9.6386,0.09094,0.172,0.03321,,,,,266.036255,-51.834053,15.28,5.15,5560,0.94,1.44,160691,86796
HD 160691,e,310.55,0.921,0.0666,0.5219,,,,,266.036255,-51.834053,15.28,5.15,5560,0.94,1.44,160691,86796
HD 16141,b,75.523,0.363,0.252,0.26,,,,,38.833035,-3.560602,35.91,6.818,5620,0.97,1.52,16141,12048
HD 16175,b,990,2.1,0.59,4.4,,,,,39.257961,42.062634,59.84,7.282,5740,1.03,1.94,16175,12191
HD 162020,b,8.428198,0.074,0.277,14.4,,,,,267.659821,-40.318348,31.26,9.118,4870,0.73,0.69,162020,87330
HD 163607,b,75.229,0.36,0.73,0.77,,,,,268.418732,56.391956,69.44,7.979,5330,0.85,1.99,163607,87601
HD 163607,c,1314,2.42,0.12,2.29,,,,,268.418732,56.391956,69.44,7.979,5330,0.85,1.99,163607,87601
HD 16417,b,17.24,0.14,0.2,0.0696,,,,,39.244198,-34.577976,25.54,5.79,5680,1,1.69,16417,12186
HD 164509,b,282.4,0.875,0.26,0.48,,,,,270.380127,0.104556,51.81,8.103,5820,1.07,1.11,164509,88268
HD 164604,b,606.4,1.3,0.24,2.7,,,,,270.7789,-28.560644,37.98,9.827,4580,0.7,0.79,164604,88414
HD 164922,b,1155,2.11,0.05,0.36,,,,,270.628601,26.313002,21.92,6.99,5230,0.82,1.04,164922,88348
HD 167042,b,412.6,1.3,0.027,1.7,,,,,272.631836,54.286552,50,5.94,4960,,4.5,167042,89047
HD 16760,b,465.1,1.13,0.067,14.3,,,,,40.58881,38.618668,50.18,8.765,5590,0.95,0.88,16760,12638
HD 168443,b,58.11289,0.3,0.5286,8.02,,,,,275.016388,-9.595722,37.88,6.917,5460,0.9,1.66,168443,89844
HD 168443,c,1749.5,2.91,0.212,18.1,,,,,275.016388,-9.595722,37.88,6.917,5460,0.9,1.66,168443,89844
HD 168746,b,6.403,0.065,0.081,0.23,,,,,275.457428,-11.922684,43.12,7.946,5500,0.91,1.15,168746,90004
HD 1690,b,533,1.3,0.64,6.1,,,,,5.305497,-8.281169,7.01,9.173,4170,,0.27,1690,1692
HD 169830,b,225.62,0.81,0.31,2.88,,,,,276.956177,-29.816866,36.32,5.902,6260,1.24,1.81,169830,90485
HD 169830,c,2102,3.6,0.33,4.04,,,,,276.956177,-29.816866,36.32,5.902,6260,1.24,1.81,169830,90485
HD 170469,b,1145,2.1,0.11,0.67,,,,,277.295746,11.695502,64.98,8.176,5610,0.96,1.48,170469,90593
